Item,Value,Value Percent,Conversions,Conversion Percent,URL,Stats URL
"Windows 7",3290,26.2,,,"","http://clicky.com/stats/visitors?site_id=100754003&date=2014-11-12,2015-02-09&os=Windows+7"
"Mac OS X",2362,18.8,,,"","http://clicky.com/stats/visitors?site_id=100754003&date=2014-11-12,2015-02-09&os=Mac+OS+X"
"Android",1922,15.3,,,"","http://clicky.com/stats/visitors?site_id=100754003&date=2014-11-12,2015-02-09&os=Android"
"Windows 8.1",1510,12,,,"","http://clicky.com/stats/visitors?site_id=100754003&date=2014-11-12,2015-02-09&os=Windows+8.1"
"iPhone",1431,11.4,,,"","http://clicky.com/stats/visitors?site_id=100754003&date=2014-11-12,2015-02-09&os=iPhone"
"Linux",932,7.4,,,"","http://clicky.com/stats/visitors?site_id=100754003&date=2014-11-12,2015-02-09&os=Linux"
"Ubuntu Linux",578,4.6,,,"","http://clicky.com/stats/visitors?site_id=100754003&date=2014-11-12,2015-02-09&os=Ubuntu+Linux"
"Windows 8",191,1.5,,,"","http://clicky.com/stats/visitors?site_id=100754003&date=2014-11-12,2015-02-09&os=Windows+8"
"Windows XP",168,1.3,,,"","http://clicky.com/stats/visitors?site_id=100754003&date=2014-11-12,2015-02-09&os=Windows+XP"
"Windows phone",50,0.4,,,"","http://clicky.com/stats/visitors?site_id=100754003&date=2014-11-12,2015-02-09&os=Windows+phone"
"Chrome OS",45,0.4,,,"","http://clicky.com/stats/visitors?site_id=100754003&date=2014-11-12,2015-02-09&os=Chrome+OS"
"Windows Vista",39,0.3,,,"","http://clicky.com/stats/visitors?site_id=100754003&date=2014-11-12,2015-02-09&os=Windows+Vista"
"Unknown mobile",19,0.2,,,"","http://clicky.com/stats/visitors?site_id=100754003&date=2014-11-12,2015-02-09&os=Unknown+mobile"
"Windows",8,0.1,,,"","http://clicky.com/stats/visitors?site_id=100754003&date=2014-11-12,2015-02-09&os=Windows"
"Windows 10",5,0,,,"","http://clicky.com/stats/visitors?site_id=100754003&date=2014-11-12,2015-02-09&os=Windows+10"
"Blackberry",3,0,,,"","http://clicky.com/stats/visitors?site_id=100754003&date=2014-11-12,2015-02-09&os=Blackberry"
"Windows 2000",1,0,,,"","http://clicky.com/stats/visitors?site_id=100754003&date=2014-11-12,2015-02-09&os=Windows+2000"
"Windows 98",1,0,,,"","http://clicky.com/stats/visitors?site_id=100754003&date=2014-11-12,2015-02-09&os=Windows+98"
"Symbian",1,0,,,"","http://clicky.com/stats/visitors?site_id=100754003&date=2014-11-12,2015-02-09&os=Symbian"

